"from","to","length","directed"
"M1","M315",1,FALSE
"M2","M316",1,FALSE
"M3","M317",1,FALSE
"M1","M4",1,FALSE
"M5","M318",1,FALSE
"M6","M315",1,FALSE
"M7","M319",1,FALSE
"M2","M8",1,FALSE
"M9","M320",1,FALSE
"M10","M321",1,FALSE
"M11","M322",1,FALSE
"M12","M323",1,FALSE
"M13","M324",1,FALSE
"M14","M325",1,FALSE
"M15","M320",1,FALSE
"M16","M326",1,FALSE
"M17","M327",1,FALSE
"M18","M328",1,FALSE
"M19","M329",1,FALSE
"M20","M327",1,FALSE
"M21","M330",1,FALSE
"M22","M331",1,FALSE
"M23","M332",1,FALSE
"M24","M333",1,FALSE
"M24","M334",1,FALSE
"M5","M25",1,FALSE
"M26","M335",1,FALSE
"M27","M336",1,FALSE
"M28","M337",1,FALSE
"M29","M338",1,FALSE
"M30","M339",1,FALSE
"M31","M340",1,FALSE
"M32","M341",1,FALSE
"M18","M33",1,FALSE
"M34","M342",1,FALSE
"M35","M343",1,FALSE
"M36","M344",1,FALSE
"M36","M345",1,FALSE
"M37","M346",1,FALSE
"M37","M347",1,FALSE
"M38","M348",1,FALSE
"M38","M349",1,FALSE
"M39","M350",1,FALSE
"M25","M40",1,FALSE
"M41","M349",1,FALSE
"M15","M42",1,FALSE
"M42","M351",1,FALSE
"M4","M43",1,FALSE
"M43","M341",1,FALSE
"M44","M352",1,FALSE
"M40","M44",1,FALSE
"M45","M353",1,FALSE
"M41","M45",1,FALSE
"M46","M354",1,FALSE
"M47","M355",1,FALSE
"M14","M48",1,FALSE
"M49","M356",1,FALSE
"M50","M357",1,FALSE
"M51","M358",1,FALSE
"M51","M350",1,FALSE
"M52","M347",1,FALSE
"M23","M52",1,FALSE
"M53","M359",1,FALSE
"M54","M360",1,FALSE
"M55","M361",1,FALSE
"M56","M337",1,FALSE
"M56","M362",1,FALSE
"M57","M363",1,FALSE
"M49","M57",1,FALSE
"M58","M364",1,FALSE
"M59","M365",1,FALSE
"M10","M60",1,FALSE
"M60","M339",1,FALSE
"M61","M366",1,FALSE
"M62","M325",1,FALSE
"M63","M367",1,FALSE
"M64","M341",1,FALSE
"M65","M368",1,FALSE
"M66","M334",1,FALSE
"M67","M348",1,FALSE
"M68","M369",1,FALSE
"M65","M69",1,FALSE
"M69","M370",1,FALSE
"M70","M371",1,FALSE
"M70","M364",1,FALSE
"M62","M70",1,FALSE
"M71","M372",1,FALSE
"M72","M344",1,FALSE
"M73","M373",1,FALSE
"M74","M359",1,FALSE
"M31","M74",1,FALSE
"M75","M374",1,FALSE
"M76","M362",1,FALSE
"M50","M77",1,FALSE
"M30","M78",1,FALSE
"M79","M375",1,FALSE
"M80","M317",1,FALSE
"M67","M80",1,FALSE
"M81","M322",1,FALSE
"M81","M376",1,FALSE
"M82","M377",1,FALSE
"M82","M370",1,FALSE
"M83","M351",1,FALSE
"M84","M378",1,FALSE
"M21","M84",1,FALSE
"M32","M85",1,FALSE
"M86","M379",1,FALSE
"M86","M368",1,FALSE
"M61","M87",1,FALSE
"M88","M345",1,FALSE
"M66","M88",1,FALSE
"M20","M89",1,FALSE
"M83","M89",1,FALSE
"M90","M380",1,FALSE
"M17","M90",1,FALSE
"M63","M90",1,FALSE
"M91","M381",1,FALSE
"M92","M382",1,FALSE
"M6","M93",1,FALSE
"M35","M93",1,FALSE
"M94","M372",1,FALSE
"M94","M356",1,FALSE
"M95","M383",1,FALSE
"M95","M384",1,FALSE
"M48","M96",1,FALSE
"M73","M96",1,FALSE
"M97","M329",1,FALSE
"M97","M385",1,FALSE
"M98","M374",1,FALSE
"M19","M99",1,FALSE
"M100","M379",1,FALSE
"M101","M384",1,FALSE
"M102","M386",1,FALSE
"M103","M326",1,FALSE
"M79","M103",1,FALSE
"M39","M104",1,FALSE
"M54","M104",1,FALSE
"M105","M387",1,FALSE
"M105","M388",1,FALSE
"M105","M369",1,FALSE
"M68","M106",1,FALSE
"M106","M384",1,FALSE
"M19","M107",1,FALSE
"M103","M107",1,FALSE
"M99","M108",1,FALSE
"M109","M318",1,FALSE
"M109","M389",1,FALSE
"M110","M377",1,FALSE
"M110","M316",1,FALSE
"M29","M111",1,FALSE
"M33","M111",1,FALSE
"M27","M112",1,FALSE
"M113","M323",1,FALSE
"M113","M381",1,FALSE
"M114","M342",1,FALSE
"M11","M114",1,FALSE
"M115","M346",1,FALSE
"M115","M333",1,FALSE
"M116","M383",1,FALSE
"M47","M117",1,FALSE
"M58","M117",1,FALSE
"M118","M378",1,FALSE
"M118","M321",1,FALSE
"M92","M119",1,FALSE
"M120","M390",1,FALSE
"M120","M353",1,FALSE
"M28","M121",1,FALSE
"M85","M122",1,FALSE
"M123","M319",1,FALSE
"M16","M123",1,FALSE
"M13","M124",1,FALSE
"M91","M124",1,FALSE
"M46","M125",1,FALSE
"M100","M125",1,FALSE
"M126","M332",1,FALSE
"M126","M391",1,FALSE
"M127","M371",1,FALSE
"M127","M354",1,FALSE
"M54","M128",1,FALSE
"M59","M128",1,FALSE
"M22","M129",1,FALSE
"M130","M324",1,FALSE
"M108","M130",1,FALSE
"M131","M330",1,FALSE
"M64","M131",1,FALSE
"M132","M335",1,FALSE
"M133","M373",1,FALSE
"M133","M392",1,FALSE
"M134","M393",1,FALSE
"M135","M392",1,FALSE
"M134","M135",1,FALSE
"M75","M136",1,FALSE
"M76","M136",1,FALSE
"M137","M331",1,FALSE
"M137","M394",1,FALSE
"M87","M138",1,FALSE
"M139","M357",1,FALSE
"M139","M395",1,FALSE
"M140","M352",1,FALSE
"M122","M140",1,FALSE
"M141","M388",1,FALSE
"M101","M141",1,FALSE
"M3","M142",1,FALSE
"M112","M142",1,FALSE
"M143","M389",1,FALSE
"M53","M144",1,FALSE
"M98","M144",1,FALSE
"M145","M396",1,FALSE
"M145","M343",1,FALSE
"M78","M146",1,FALSE
"M55","M147",1,FALSE
"M147","M392",1,FALSE
"M148","M376",1,FALSE
"M149","M361",1,FALSE
"M129","M149",1,FALSE
"M150","M340",1,FALSE
"M72","M150",1,FALSE
"M8","M151",1,FALSE
"M152","M363",1,FALSE
"M152","M360",1,FALSE
"M26","M153",1,FALSE
"M116","M153",1,FALSE
"M154","M380",1,FALSE
"M121","M154",1,FALSE
"M155","M366",1,FALSE
"M146","M155",1,FALSE
